"ISTASYON_ID","ISTASYON_ADI","ISTASYON_SIRASI","AKTIF_MI","BOYLAM","ENLEM"
"1","KAYMAKAMLIK","1"," True","26.991","38.3949"
"2","100. YIL CUMHURİYET ŞEHİTLİK","2"," True","27.0003","38.3957"
"3","NARLIDERE İTFAİYE","3"," True","27.015","38.3937"
"4","GÜZEL SANATLAR","4"," True","27.0234","38.3924"
"5","DOKUZ EYLÜL ÜNİVERSİTESİ HASTANESİ ","5"," True","27.0378","38.3942"
"6","ÇAĞDAŞ","6"," True","27.0456","38.3944"
"7","BALÇOVA","7"," True","27.057","38.3957"
"8","FALTAY","8"," True","27.0698","38.3953"
"9","POLİGON","9"," True","27.0841","38.3916"
"10","GÖZTEPE","10"," True","27.0943","38.3965"
"11","HATAY","11"," True","27.1031","38.4015"
"12","İZMİRSPOR","12"," True","27.1103","38.4017"
"13","ÜÇYOL","13"," True","27.1208","38.4061"
"14","KONAK","14"," True","27.1283","38.4175"
"15","ÇANKAYA","15"," True","27.1369","38.4225"
"16","BASMANE","16"," True","27.1441","38.4227"
"17","HİLAL","17"," True","27.1564","38.4275"
"18","HALKAPINAR","18"," True","27.1686","38.435"
"19","STADYUM","19"," True","27.1808","38.4425"
"20","SANAYİ","20"," True","27.19","38.4481"
"21","BÖLGE","21"," True","27.2008","38.4547"
"22","BORNOVA","22"," True","27.2128","38.4586"
"23","ÜNİVERSİTE","23"," True","27.2283","38.46"
"24","EVKA3","24"," True","27.2289","38.4656"
