ISTASYON_ID;ISTASYON_ADI;ENLEM;BOYLAM
64;ATAŞEHİR KAVŞAĞI;384.864;270.595
65;SEMRA AKSU;384.919;270.623
66;ESKİ HAVAALANI;384.931;27.057
67;YENİ MAHALLE;384.939;270.507
68;ÇİĞLİ BÖLGE HASTANESİ;384.975;270.486
69;ATA SANAYİ;385.021;270.455
70;EVKA - 5;385.061;270.415
71;KATİP ÇELEBİ ÜNİVERSİTESİ;385.071;270.302
72;İAOSB NEDİM UYSAL LİSESİ;38.506;270.372
73;M. KEMAL ATATÜRK BULVARI;385.013;270.371
74;İAOSB MÜDÜRLÜĞÜ;384.922;270.367
75;KEMAL BAYSAK;384.862;270.372
76;NİHAT KARAKARTAL;38.486;270.435
77;NAZIM HİKMET RAN;384.859;270.526
